                   0en|i   |y        |
                1990|11000111 |111  | 0|
                2000|11001000 |111  | 0|
                2010|11001001 |111  | 0|
                2020|11001010 |111  | 0|
                2030|11001011 |111  | 0|
                2040|11001100 |111  | 0|
                2050|11001101 |111  | 0|
                2060|11001110 |111  | 0|
                2070|11001111 |111  | 0|
                2080|11010000 |111  | 0|
                2090|11010001 |111  | 0|
                2100|11010010 |111  | 0|
                2110|11010011 |111  | 0|
                2120|11010100 |111  | 0|
                2130|11010101 |111  | 0|
                2140|11010110 |111  | 0|
                2150|11010111 |111  | 0|
                2160|11011000 |111  | 0|
                2170|11011001 |111  | 0|
                2180|11011010 |111  | 0|
                2190|11011011 |111  | 0|
                2200|11011100 |111  | 0|
                2210|11011101 |111  | 0|
                2220|11011110 |111  | 0|
                2230|11011111 |111  | 0|
                2240|11100000 |111  | 0|
                2250|11100001 |111  | 0|
                2260|11100010 |111  | 0|
                2270|11100011 |111  | 0|
                2280|11100100 |111  | 0|
                2290|11100101 |111  | 0|
                2300|11100110 |111  | 0|
                2310|11100111 |111  | 0|
                2320|11101000 |111  | 0|
                2330|11101001 |111  | 0|
                2340|11101010 |111  | 0|
                2350|11101011 |111  | 0|
                2360|11101100 |111  | 0|
                2370|11101101 |111  | 0|
                2380|11101110 |111  | 0|
                2390|11101111 |111  | 0|
                2400|11110000 |111  | 0|
                2410|11110001 |111  | 0|
                2420|11110010 |111  | 0|
                2430|11110011 |111  | 0|
                2440|11110100 |111  | 0|
                2450|11110101 |111  | 0|
                2460|11110110 |111  | 0|
                2470|11110111 |111  | 0|
                2480|11111000 |111  | 0|
                2490|11111001 |111  | 0|
                2500|11111010 |111  | 0|
                2510|11111011 |111  | 0|
                2520|11111100 |111  | 0|
                2530|11111101 |111  | 0|
                2540|11111110 |111  | 0|
                2550|11111111 |111  | 0|
